name,win_percentage,Cluster
Jack Thompson,0.4151,3
Trent Dilfer,0.5,3
Bill Nelsen,0.5312,3
Andrew Walter,0.3448,3
Tony Adams,0.2453,3
James Harris,0.6071,3
Tom Owen,0.4444,3
Tommy Maddox,0.4646,3
Todd Philcox,0.3333,3
Todd Marinovich,0.3333,3
Doug Pederson,0.5636,3
Tim Hasselbeck,0.5217,3
Jay Schroeder,0.5714,3
Bill Kenney,0.4486,3
Tony Banks,0.45,3
Ryan Nassib,0.5714,3
Ryan Griffin,0.5,3
Ryan Lindley,0.3182,3
Chad Henne,0.3918,3
Gale Gilbert,0.5645,3
Mike Glennon,0.3243,3
Max Hall,0.3636,3
Charley Johnson,0.4189,3
Curtis Painter,0.25,3
Johnny Unitas,0.6136,3
Matt Moore,0.4744,3
Matt McGloin,0.3103,3
Matt Leinart,0.4098,3
Craig Erickson,0.3462,3
Jon Kitna,0.4217,3
Jordan Palmer,0.4444,3
Keith Null,0.5,3
Kellen Clemens,0.4706,3
Mark Vlasic,0.625,3
Mark Malone,0.3947,3
Kellen Moore,0.5789,3
Lynn Dickey,0.4371,3
Chris Redman,0.5273,3
Ken Karcher,0.5,3
Landry Jones,0.4516,3
Kyle Orton,0.4914,3
Ken O'Brien,0.4436,3
Chris Weinke,0.3684,3
Casey Weldon,0.3846,3
Ryan Mallett,0.619,3
Case Keenum,0.4318,3
Mike Tomczak,0.5867,3
Joe Ferguson,0.4368,3
Cody Carlson,0.6087,3
Brady Quinn,0.3265,3
Dave Mays,0.3333,3
Daryle Lamonica,0.6792,3
Ron Jaworski,0.5279,3
Roman Gabriel,0.4348,3
Brandon Weeden,0.42,3
Joe Namath,0.3662,3
Brett Ratliff,0.5714,3
Dan Pastorini,0.4345,3
Brock Osweiler,0.6842,3
Richard Todd,0.418,3
Dan Orlovsky,0.3692,3
Danny Kanell,0.3721,3
Bryce Petty,0.3077,3
Vinny Testaverde,0.4413,3
Joey Harrington,0.3535,3
Pete Liske,0.3611,3
John Beck,0.4815,3
Byron Leftwich,0.5301,3
Patrick Ramsey,0.431,3
Pat Devlin,0.4,3
John Hadl,0.4685,3
Neil O'Donnell,0.5652,3
Carson Wentz,0.4706,3
A.J. Feeley,0.4255,3
